Author ID,Author Name,Author URL
47542646,hayley mckenzie,https://www.semanticscholar.org/author/47542646
48276304,m. welton,https://www.semanticscholar.org/author/48276304
49745976,y. shen,https://www.semanticscholar.org/author/49745976
3115265,m. ebell,https://www.semanticscholar.org/author/3115265
48316505,d. m. dejoy,https://www.semanticscholar.org/author/48316505
120828011,sara wagner robb,https://www.semanticscholar.org/author/120828011
2692101,s. nolas,https://www.semanticscholar.org/author/2692101
1435116938,k. pratt-boyden,https://www.semanticscholar.org/author/1435116938
7210849,r. maglajlic,https://www.semanticscholar.org/author/7210849
2003500323,catherine anne nicole lorentzen,https://www.semanticscholar.org/author/2003500323
32541252,b. viken,https://www.semanticscholar.org/author/32541252
47792378,c. hughes,https://www.semanticscholar.org/author/47792378
5507582,p. bhandari,https://www.semanticscholar.org/author/5507582
145053719,arland thornton,https://www.semanticscholar.org/author/145053719
1405478411,linda young-demarco,https://www.semanticscholar.org/author/1405478411
7799229,c. sun,https://www.semanticscholar.org/author/7799229
144069808,jeffrey swindle,https://www.semanticscholar.org/author/144069808
1739403,geoffrey p. r. wallace,https://www.semanticscholar.org/author/1739403
51057340,s. wallace,https://www.semanticscholar.org/author/51057340
153823479,j. zhu,https://www.semanticscholar.org/author/153823479
1731747,w. pulleyblank,https://www.semanticscholar.org/author/1731747
101474844,pietro cingolani,https://www.semanticscholar.org/author/101474844
104904146,f. vietti,https://www.semanticscholar.org/author/104904146
118406217,s. ghahari,https://www.semanticscholar.org/author/118406217
1484903100,josie lui,https://www.semanticscholar.org/author/1484903100
1485601837,satmeen nagra,https://www.semanticscholar.org/author/1485601837
4649436,s. morassaei,https://www.semanticscholar.org/author/4649436
13587976,o. masakure,https://www.semanticscholar.org/author/13587976
47345038,ginette lafrenière,https://www.semanticscholar.org/author/47345038
1411887263,magnus mfoafo-m’carthy,https://www.semanticscholar.org/author/1411887263
46896194,maria gabriella filippazzo,https://www.semanticscholar.org/author/46896194
1484377295,cettina gargano,https://www.semanticscholar.org/author/1484377295
15468786,domenico serravalle,https://www.semanticscholar.org/author/15468786
117946741,shamette hepburn,https://www.semanticscholar.org/author/117946741
13320934,jennifer creese,https://www.semanticscholar.org/author/13320934
103844935,t. sparreboom,https://www.semanticscholar.org/author/103844935
145660870,jesse mertens,https://www.semanticscholar.org/author/145660870
144193186,s. berger,https://www.semanticscholar.org/author/144193186
52072328,thomas antwi bosiakoh,https://www.semanticscholar.org/author/52072328
50997961,a. ncube,https://www.semanticscholar.org/author/50997961
51020007,y. bahta,https://www.semanticscholar.org/author/51020007
41329759,a. jordaan,https://www.semanticscholar.org/author/41329759
123347034,arokkiaraj heller,https://www.semanticscholar.org/author/123347034
81324340,archana kaushik,https://www.semanticscholar.org/author/81324340
1396640580,breanna barrie,https://www.semanticscholar.org/author/1396640580
1379655850,serriz peña,https://www.semanticscholar.org/author/1379655850
1396640565,jilanch alphonso,https://www.semanticscholar.org/author/1396640565
1391797622,alveera mamoon,https://www.semanticscholar.org/author/1391797622
153544377,arlette leal,https://www.semanticscholar.org/author/153544377
117247298,adriana palomera,https://www.semanticscholar.org/author/117247298
145480498,c. norambuena,https://www.semanticscholar.org/author/145480498
1419288620,gard ringen høibjerg,https://www.semanticscholar.org/author/1419288620
1870438724,cecilia menjívar,https://www.semanticscholar.org/author/1870438724
47872390,f. garip,https://www.semanticscholar.org/author/47872390
1413250614,rina mazuera-arias,https://www.semanticscholar.org/author/1413250614
1413256764,neida albornoz-arias,https://www.semanticscholar.org/author/1413256764
84720013,maría-antonia cuberos,https://www.semanticscholar.org/author/84720013
1423415061,marisela vivas-garcía,https://www.semanticscholar.org/author/1423415061
147565493,miguel ángel morffe peraza,https://www.semanticscholar.org/author/147565493
93060452,i. jakubiak,https://www.semanticscholar.org/author/93060452
153656965,e. carlson,https://www.semanticscholar.org/author/153656965
144026866,varun aggarwal,https://www.semanticscholar.org/author/144026866
38123680,g. solano,https://www.semanticscholar.org/author/38123680
153484603,priyansha singh,https://www.semanticscholar.org/author/153484603
1570759949,saniya singh,https://www.semanticscholar.org/author/1570759949
49724342,h. zhang,https://www.semanticscholar.org/author/49724342
7300052,x. cao,https://www.semanticscholar.org/author/7300052
152253423,y. yu,https://www.semanticscholar.org/author/152253423
13633018,a. s. kumara,https://www.semanticscholar.org/author/13633018
116750198,l. abeysekera,https://www.semanticscholar.org/author/116750198
144302447,seyedsoroosh azizi,https://www.semanticscholar.org/author/144302447
1516511623,kiana yektansani,https://www.semanticscholar.org/author/1516511623
114670690,aurelian-petruș plopeanu,https://www.semanticscholar.org/author/114670690
69007299,daniel homocianu,https://www.semanticscholar.org/author/69007299
14810707,g. bodea,https://www.semanticscholar.org/author/14810707
119870263,e. crișan,https://www.semanticscholar.org/author/119870263
133631311,alin adrian mihăilă,https://www.semanticscholar.org/author/133631311
1411037965,eunice d. vargas-valle,https://www.semanticscholar.org/author/1411037965
1571830796,rodrigo aguilar‐zepeda,https://www.semanticscholar.org/author/1571830796
152437404,a. karimi,https://www.semanticscholar.org/author/152437404
114566012,a. güler,https://www.semanticscholar.org/author/114566012
114422889,sarah desai,https://www.semanticscholar.org/author/114422889
8606057,jessica houston su,https://www.semanticscholar.org/author/8606057
48281176,l. caron,https://www.semanticscholar.org/author/48281176
52031384,b. oomen,https://www.semanticscholar.org/author/52031384
34284918,m. triventi,https://www.semanticscholar.org/author/34284918
1412549470,nicolette d. manglos-weber,https://www.semanticscholar.org/author/1412549470
13114393,anders næss,https://www.semanticscholar.org/author/13114393
67123834,dan ferris,https://www.semanticscholar.org/author/67123834
146172811,a. richards,https://www.semanticscholar.org/author/146172811
146658563,emma strauss schubert,https://www.semanticscholar.org/author/146658563
7428204,mary acri,https://www.semanticscholar.org/author/7428204
48872229,s. roberts,https://www.semanticscholar.org/author/48872229
144990493,d. manley,https://www.semanticscholar.org/author/144990493
6998518,abe oudshoorn,https://www.semanticscholar.org/author/6998518
49158763,s. benbow,https://www.semanticscholar.org/author/49158763
143890235,m. meyer,https://www.semanticscholar.org/author/143890235
144052989,sangtu ko,https://www.semanticscholar.org/author/144052989
2005473335,kate hooper,https://www.semanticscholar.org/author/2005473335
13418346,s. rimoldi,https://www.semanticscholar.org/author/13418346
3118352,k. imran,https://www.semanticscholar.org/author/3118352
13456503,evelyn s. devadason,https://www.semanticscholar.org/author/13456503
118815142,c. k. cheok,https://www.semanticscholar.org/author/118815142
5939912,e. kotyrlo,https://www.semanticscholar.org/author/5939912
50449290,s. alizadeh,https://www.semanticscholar.org/author/50449290
123528553,catherine t. conrad suso,https://www.semanticscholar.org/author/123528553
112896869,kumiko shibuya,https://www.semanticscholar.org/author/112896869
15197985,x. chen,https://www.semanticscholar.org/author/15197985
2003504050,mohammad morad,https://www.semanticscholar.org/author/2003504050
115300308,a. diop,https://www.semanticscholar.org/author/115300308
90272734,semsia al-ali mustafa,https://www.semanticscholar.org/author/90272734
2359407,m. ewers,https://www.semanticscholar.org/author/2359407
116610624,t. k. le,https://www.semanticscholar.org/author/116610624
41021806,d. uprety,https://www.semanticscholar.org/author/41021806
107669796,huriye toker,https://www.semanticscholar.org/author/107669796
133988766,g. adiku,https://www.semanticscholar.org/author/133988766
116029744,i. karkouti,https://www.semanticscholar.org/author/116029744
69424129,t. wolsey,https://www.semanticscholar.org/author/69424129
40493923,m. toprak,https://www.semanticscholar.org/author/40493923
144240545,k. palani,https://www.semanticscholar.org/author/144240545
2023659181,dawn chatty,https://www.semanticscholar.org/author/2023659181
1740630412,apostolos veizis,https://www.semanticscholar.org/author/1740630412
116433115,f. larbi,https://www.semanticscholar.org/author/116433115
30937035,m. a. ashraf,https://www.semanticscholar.org/author/30937035
34001424,t. deng,https://www.semanticscholar.org/author/34001424
145060083,a. liu,https://www.semanticscholar.org/author/145060083
108551201,c. c. carpio,https://www.semanticscholar.org/author/108551201
83087212,c. garcía-serrano,https://www.semanticscholar.org/author/83087212
74816353,v. hernanz,https://www.semanticscholar.org/author/74816353
80760429,m. bobić,https://www.semanticscholar.org/author/80760429
83132894,danica šantić,https://www.semanticscholar.org/author/83132894
80137613,émilie tran,https://www.semanticscholar.org/author/80137613
153262552,ya-han chuang,https://www.semanticscholar.org/author/153262552
46269661,t. adalı,https://www.semanticscholar.org/author/46269661
32316053,a. s. türkyılmaz,https://www.semanticscholar.org/author/32316053
108393774,irene masdeu torruella,https://www.semanticscholar.org/author/108393774
50716045,m. tu,https://www.semanticscholar.org/author/50716045
108355011,daniel nehring,https://www.semanticscholar.org/author/108355011
123495278,a. singleton,https://www.semanticscholar.org/author/123495278
79579023,kolitha wickramage,https://www.semanticscholar.org/author/79579023
46253065,j. worrall,https://www.semanticscholar.org/author/46253065
116305886,a. saleh,https://www.semanticscholar.org/author/116305886
49489728,m. grasso,https://www.semanticscholar.org/author/49489728
33489703,m. pawlak,https://www.semanticscholar.org/author/33489703
143907443,j. galle,https://www.semanticscholar.org/author/143907443
52014852,koenraad abts,https://www.semanticscholar.org/author/52014852
143902543,g. george,https://www.semanticscholar.org/author/143902543
123416963,bruce rhodes,https://www.semanticscholar.org/author/123416963
51101585,r. rana,https://www.semanticscholar.org/author/51101585
144828898,k. alam,https://www.semanticscholar.org/author/144828898
36356417,j. gow,https://www.semanticscholar.org/author/36356417
1435230511,mirza aguilar–pérez,https://www.semanticscholar.org/author/1435230511
46862294,r. thomas,https://www.semanticscholar.org/author/46862294
122462122,g. felten,https://www.semanticscholar.org/author/122462122
118182178,lisa yagaloff,https://www.semanticscholar.org/author/118182178
122897581,marine yarmaloyan,https://www.semanticscholar.org/author/122897581
82184806,k. v. clements,https://www.semanticscholar.org/author/82184806
39950918,d. baird,https://www.semanticscholar.org/author/39950918
39847182,r. campbell,https://www.semanticscholar.org/author/39847182
39949385,jyotika saksena,https://www.semanticscholar.org/author/39949385
37060743,shannon l mcmorrow,https://www.semanticscholar.org/author/37060743
103348060,symen a. brouwers,https://www.semanticscholar.org/author/103348060
1413628313,siti mas’udah,https://www.semanticscholar.org/author/1413628313
51165677,yvette young,https://www.semanticscholar.org/author/51165677
122287856,duygu ozaltin,https://www.semanticscholar.org/author/122287856
117541904,f. shakir,https://www.semanticscholar.org/author/117541904
6271728,j. walker,https://www.semanticscholar.org/author/6271728
118034828,caitlin g. bletscher,https://www.semanticscholar.org/author/118034828
87149349,h. knutsen,https://www.semanticscholar.org/author/87149349
81406678,filza waseem,https://www.semanticscholar.org/author/81406678
1829799,waseem iqbal,https://www.semanticscholar.org/author/1829799
118720454,s. white,https://www.semanticscholar.org/author/118720454
69890824,l. turgeon,https://www.semanticscholar.org/author/69890824
48979391,a. henderson,https://www.semanticscholar.org/author/48979391
104383025,kseniia gatskova,https://www.semanticscholar.org/author/104383025
144125640,v. kozlov,https://www.semanticscholar.org/author/144125640
80606627,s. falcke,https://www.semanticscholar.org/author/80606627
