Paper ID,Topic ID
a7ba18c2f57251276e912db8e133a57093954ac7,3509696
0af2eca2e4a64ee6ca7e90caf4d78a324281daca,4028054
638a8a4b02fdda9c83220c03cbd8415832bab0a2,465484
c37bb8056d9ae92f513a73a5908ebb573d0f411b,74631
fe0d5307c0894d1383308bbb2ca5dc1fd7538c33,4290824
bb1e41cf4ade5bb173f306bdff50b1868534ec1f,62507
a78dd982e912ed1e02f8cd3acd7d3d3b1ce4f0b7,79761
4dbbb0c5ab6caf7f789bc825d2611b9a14d0a08b,47005
1e9b7593c01cc73f0d4e6c28daee92b816411409,47519
b0aaa10b2d935c1dbf0b77853a95264c77794695,6474871
9236569d14f170a686018d3f6e857d8db35ba0fa,367274
4db8527d40d1d5e76ff50662d988604b390081a1,869255
b9ca19062bbbf83fdeb79da0d141db487a472e67,2985765
c37bb8056d9ae92f513a73a5908ebb573d0f411b,16784
0595953e00ccbadd4560459c763bf0c35de4d6bd,66761
241e0170c06f30a8ffadeac8768df796f9af7739,2432269
cb32e99bf347d0a749163e561d8e030074e6a814,21540
2150329618537ce1a6fc376d7e78af59fffa91d3,315884
20df8608d09759117727be390e9a0f176e72fec8,90728
3870700986d20fa4c9f47481c5f4fc812f34c1a2,145923
e2f78ce3fc5c9df5c087128dd7e77d655ff079d9,1503737
b58d58d71c9d5bf3c6087e3672c032a6f087795f,40674
0757b41557f4c88156460bfe7cc2a6e1a208bb1e,52082
ef6826bc8940fc48435a26ff6498667e52444131,954415
e663582226f3f6da849d9135c794ae6d2ba4d3c3,213860
c1a726c3fc36dc1a0661c8665719f1ac6e1df224,3534691
05db67421233f40832dd03b67f7f25b4a2d1d0b1,17570
03330c6aeec707bc80f76b8f99350a91c5947098,525296
eab25d4a005a8a380cd7f9f662b802657a2a7b10,31127
742884ebe6da8d74665423e5efb097481c25f9aa,39899
8180f7c052700fe191b0254765a485087359e394,727
0cf0f9ddb438bead8712f279dca3f49ff968b723,226552
2150329618537ce1a6fc376d7e78af59fffa91d3,2106634
2b9b5d552617fc3e1c2f674d0e03136851a61683,28409
2caf250e7b5376e75a24e44de7fd6b25bf04d51a,1974197
88648a9379ac6ff87fef4a15d0942fb49c4cb5c9,20712
03dcd4e42c84f2773693e3b324747044c68c4a99,1421150
3bc08ff392f8429cea23d26886f07dc9975914f6,32302
0bb933eb8b3695a2ecb3bc2b1bfbcd69e59de0e4,43444
b653075b3d1b560297bbac7e2077dcda9986aaf7,10397500
077ecf6428267296d5afd5ea2986db43eddceab3,471172
02400549a9f6692cc614f6e7c4a7d1b789fcd0c7,294018
